역명,지번주소,위도,경도,승하차인원_합계
남산정,부산광역시 북구 만덕동 706-6,35.2134704,129.0249392,268141.0
대저,부산광역시 강서구 대저1동 1500-2,35.2131814,128.9626963,446089.0
대저,부산광역시 강서구 대저1동 1500-2,35.2131814,128.9626963,367845.0
덕천,부산광역시 북구 덕천동 327,35.2102217,129.0059825,356537.0
덕천,부산광역시 북구 덕천동 327,35.2102217,129.0059825,661570.0
만덕,부산광역시 북구 만덕동 607-1,35.2131407,129.0350053,364003.0
망미,부산광역시 수영구 망미동 603-2,35.1722163,129.1092793,274350.0
물만골,부산광역시 연제구 연산동 1515-11,35.1801246,129.0842501,223500.0
미남,부산광역시 동래구 온천동 1470,35.2067184,129.0723909,577955.0
배산,부산광역시 연제구 연산동 1805-3,35.1733766,129.0962456,256033.0
사직,부산광역시 동래구 사직동 161-1,35.1990182,129.067472,405141.0
수영,부산광역시 수영구 광안동 1091-1,35.1682877,129.1127706,893762.0
숙등,부산광역시 북구 덕천동 462,35.2117428,129.0145948,228931.0
연산,부산광역시 연제구 연산동 1515-1,35.1891281,129.0808535,1078597.0
종합운동장,부산광역시 연제구 거제동 1191-2,35.191056,129.0685269,384410.0
체육공원,부산광역시 강서구 대저1동 2327-35,35.2088938,128.978389,52220.0
고촌,부산광역시 기장군 철마면 고촌리 518-2,35.2360263,129.1605183,32034.0
금사,부산광역시 금정구 금사동 154-1,35.2152226,129.1130694,102959.0
낙민,부산광역시 동래구 낙민동 205-4,35.2003546,129.0904664,100296.0
동래,부산광역시 동래구 온천동 1486,35.2036033,129.0698802,1029061.0
동래,부산광역시 동래구 온천동 1486,35.2036033,129.0698802,135880.0
동래,부산광역시 동래구 온천동 1486,35.2036033,129.0698802,78714.0
명장,부산광역시 동래구 명장동 184,35.2047129,129.1022454,177127.0
미남,부산광역시 동래구 온천동 1470,35.2067184,129.0723909,577955.0
반여농산물시장,부산광역시 해운대구 석대동 507-1,35.2180466,129.1240813,110893.0
서동,부산광역시 금정구 서동 241,35.215436,129.1052653,139255.0
석대,부산광역시 해운대구 석대동 574-14,35.2180971,129.1370944,8222.0
수안,부산광역시 동래구 수안동 204-2,35.1985038,129.0885195,224396.0
안평,부산광역시 기장군 철마면 안평리 543-23,35.2375366,129.1720818,112589.0
영산대,부산광역시 해운대구 반송동 698-12,35.2259666,129.1462566,145940.0
윗반송,부산광역시 해운대구 반송동 385-56,35.2321522,129.1524798,144483.0
충렬사,부산광역시 동래구 안락동 473,35.1998025,129.0975146,192078.0
공항,부산광역시 강서구 대저2동 2353-1,35.1728849,128.9481586,310674.0
괘법르네시떼,부산광역시 사상구 괘법동 572-17,35.1631606,128.977529,81073.0
대사,부산광역시 강서구 강동동 110-2,35.2178141,128.9379604,28952.0
대저,부산광역시 강서구 대저1동 1536-2,35.2132407,128.9606157,446089.0
대저,부산광역시 강서구 대저1동 1536-2,35.2132407,128.9606157,367845.0
덕두,부산광역시 강서구 대저2동 1858-3,35.1820869,128.9544032,68912.0
등구,부산광역시 강서구 대저1동 3133-18,35.1962587,128.9636371,13112.0
사상,부산광역시 사상구 괘법동 572-1,35.1612865,128.9829876,1273303.0
사상,부산광역시 사상구 괘법동 572-1,35.1612865,128.9829876,515988.0
서부산유통지구,부산광역시 강서구 대저2동 3149,35.1654773,128.9554027,86514.0
평강,부산광역시 강서구 대저1동 1639-1,35.2145062,128.9507425,19993.0
거제,부산광역시 연제구 거제동 419-2,35.1895147,129.0742278,356677.0
거제,부산광역시 연제구 거제동 419-2,35.1895147,129.0742278,123967.0
거제해맞이,부산광역시 연제구 거제동 649-12,35.1824581,129.0690702,64495.0
교대,부산광역시 연제구 거제동 42-3,35.1942194,129.0804262,301985.0
기장,부산광역시 기장군 기장읍 대라리 4-13,35.2436265,129.2185488,202226.0
동래,부산광역시 동래구 낙민동 130-4,35.1971877,129.0913503,1029061.0
동래,부산광역시 동래구 낙민동 130-4,35.1971877,129.0913503,135880.0
동래,부산광역시 동래구 낙민동 130-4,35.1971877,129.0913503,78714.0
벡스코,부산광역시 해운대구 우동 1111-2,35.1711902,129.1367393,608373.0
벡스코,부산광역시 해운대구 우동 1111-2,35.1711902,129.1367393,307131.0
부산원동,부산광역시 동래구 안락동 52-2,35.193803,129.1134273,104550.0
부전,부산광역시 부산진구 부전동 280-76,35.1647562,129.0607482,232929.0
센텀,부산광역시 해운대구 재송동 646-2,35.1792113,129.1247514,129849.0
송정,부산광역시 해운대구 송정동 120-1,35.1875167,129.2023652,91414.0
신해운대,부산광역시 해운대구 좌동 132,35.181485,129.1772894,139874.0
안락,부산광역시 동래구 안락동 201-2,35.1960323,129.1017225,100674.0
오시리아,부산광역시 기장군 기장읍 당사리 261-8,35.1962987,129.2088198,123596.0
월내,부산광역시 기장군 장안읍 해맞이로 351-31,35.3247363,129.2749541,33373.0
일광,부산광역시 기장군 삼성리 21-1,35.2666069,129.2332211,147437.0
재송,부산광역시 해운대구 재송동 909-2,35.1884339,129.120444,86667.0
좌천,부산광역시 기장군 장안읍 좌천리 239-4,35.3117873,129.2451541,65997.0
