운영상태,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
사용중,부산광역시 중구 광복로97번길 24 (동광동2가),부산광역시 중구 동광동2가 3번지 1호,지하,505.0,612,35.10068654392601,129.03488814824476,1139895.016112,1679471.515373
사용중,부산광역시 중구 광복로97번길 18 (동광동2가),부산광역시 중구 동광동2가 4번지,지하,726.0,880,35.100268640327506,129.035163737499,1139920.850601,1679425.55208
사용중,부산광역시 중구 법수길 72,부산광역시 중구 보수동1가 41번지 1호,지하,4132.0,5008,35.106604950240744,129.0253202214189,1139012.839979,1680114.539262
사용중,부산광역시 중구 보수대로 82 (부평동4가),부산광역시 중구 부평동4가 52번지 3호,지하,105.0,127,35.102992421351054,129.02137928764603,1138659.766624,1679708.37485
사용중,부산광역시 중구 대청로 60 (부평동2가),부산광역시 중구 부평동2가 2번지,지하,3457.0,4190,35.10293119797668,129.0263635138261,1139114.173811,1679708.534377
사용중,부산광역시 중구 자갈치로37번길 4 (남포동5가),부산광역시 중구 남포동5가 88번지,지하,330.0,400,35.09716595140915,129.0284495502852,1139314.123168,1679072.017639
사용중,부산광역시 중구 구덕로 87-1 (남포동6가),부산광역시 중구 남포동6가 113번지 1호,지하,479.0,580,35.097046607589206,129.02631582504395,1139119.826827,1679055.799181
사용중,부산광역시 중구 자갈치로 42 (남포동5가),부산광역시 중구 남포동5가 92번지,지하,941.0,1140,35.09692419305829,129.02890599185224,1139356.141471,1679045.84228
사용중,부산광역시 중구 중구로 160 (영주동),부산광역시 중구 영주동 743번지 33호,지하,102.0,123,35.10919455631716,129.03585651064475,1139968.733208,1680416.51414
사용중,부산광역시 중구 중구로 151 (영주동),부산광역시 중구 영주동 742번지 13호,지하,264.0,320,35.10877661704812,129.03527522779152,1139916.468796,1680369.342932
사용중,부산광역시 중구 대영로 235 (영주동),부산광역시 중구 영주동 23번지 3호,지하,287.0,347,35.11229071236012,129.03631828053082,1140005.522314,1680760.563582
사용중,부산광역시 중구 동영로 65 (영주동),부산광역시 중구 영주동 280번지 4호,지하,161.0,195,35.11101184074604,129.03179863015137,1139595.79223,1680612.376656
사용중,부산광역시 중구 망양로383번안길 25 (영주동),부산광역시 중구 영주동 222번지 2호,지하,185.0,224,35.11039307520695,129.02940479690352,1139378.673737,1680540.395307
사용중,부산광역시 중구 대청로 124(대청동1가),부산광역시 중구 대청동1가 39-5,지하,158.0,191,35.10269459745577,129.03350411743344,1139765.43192,1679692.288969
사용중,부산광역시 중구 대청로 80 (대청동3가),부산광역시 중구 대청동3가 20번지,지하,594.0,720,35.10284872191825,129.02867432748124,1139324.940926,1679702.616696
사용중,부산광역시 중구 대청로 71 (보수동1가),부산광역시 중구 보수동1가 144번지 4호,지하,429.0,520,35.103230337019895,129.02767139245088,1139232.875892,1679743.539798
사용중,부산광역시 중구 영주로 65 (영주동),부산광역시 중구 영주동 160번지,지하,1190.0,1442,35.113183193012574,129.03006171953783,1139433.791345,1680850.771741
사용중,부산광역시 중구 영주로 51 (영주동),부산광역시 중구 영주동 161번지,지하,1910.0,2315,35.11173408579602,129.03018397718486,1139447.403032,1680690.219913
사용중,부산광역시 중구 중구로 74 (대청동4가),부산광역시 중구 대청동4가 95번지,지하,1592.0,1929,35.103856269483565,129.02917613709835,1139368.964581,1679815.067424
사용중,부산광역시 중구 대청로 37 (보수동2가),부산광역시 중구 보수동2가 118번지 3호,지하,281.0,340,35.10329873648999,129.02412698030088,1138909.693941,1679746.177232
사용중,"부산광역시 서구 구덕로 지하170, 지하 1층 (토성동3가)",부산광역시 서구 토성동3가 11-3,지하,5610.0,6800,35.09998572256005,129.01970770646864,1138512.492504,1679372.572003
사용중,부산광역시 서구 구덕로 지하 290 (동대신동2가),부산광역시 서구 동대신동2가 428번지 9호,지하,2911.0,3528,35.11003263799455,129.0179152489204,1138332.126429,1680484.39861
사용중지,부산광역시 서구 구덕로285번길 7 (서대신동1가),부산광역시 서구 서대신동1가 52번지 11호,지하,498.0,603,35.10923582611301,129.01774836384195,1138318.263234,1680395.79122
사용중,부산광역시 서구 대영로 16 (부산서부경찰서),부산광역시 서구 서대신동2가 271번지,지하,1990.71,2412,35.11001387934607,129.01351406440315,1137931.033138,1680476.213469
사용중,부산광역시 서구 대영로 지하 1 (서대신동2가),부산광역시 서구 서대신동2가 338번지,지하,6765.0,8200,35.11088144291675,129.0122215614727,1137811.773146,1680570.646788
사용중,"부산광역시 서구 구덕로 187, 지하 1층 (아미동1가)",부산광역시 서구 아미동1가 1,지하,1383.0,1676,35.10147241834857,129.01965434717937,1138505.113351,1679537.389273
사용중지,"부산광역시 서구 구덕로 179, 부산대학병원 지하 1층 (아미동1가)",부산광역시 서구 아미동1가 10-1 부산대학병원,지하,495.0,600,35.1006473673956,129.01962005464472,1138503.383496,1679445.834055
사용중,"부산광역시 서구 구덕로 지하170, 지하 1층 (토성동3가)",부산광역시 서구 토성동3가 11-3,지하,5610.0,6800,35.09998572256005,129.01970770646864,1138512.492504,1679372.572003
사용중,부산광역시 서구 구덕로 102-1 (충무동2가),부산광역시 서구 충무동2가 7번지 6호,지하,6270.0,7600,35.09692890576239,129.0247828466889,1138980.288246,1679040.604958
사용중지,부산광역시 서구 대티로108번길 8(서대신동2가),부산광역시 서구 서대신동2가 499,지상,7029.0,8520,35.108634204362936,129.00954413966411,1137571.5327558175,1680317.7006659738
사용중지,부산광역시 서구 대영로74번길 17 (동대신동1가),부산광역시 서구 동대신동1가 163번지 2호,지하,219.0,265,35.10974490936986,129.01967089759648,1138492.623638,1680454.926283
사용중지,부산광역시 서구 구덕로 266(동대신동1가),부산광역시 서구 동대신동1가 382-3,지하,288.0,349,35.108385865209016,129.01967095745184,1138494.928996,1680304.192724
사용중,"부산광역시 서구 구덕로 258 (동대신동1가, (주)서구대성학원)",부산광역시 서구 동대신동1가 392번지 1호,지하,550.0,666,35.107858970444966,129.02025857434535,1138549.377626,1680246.571347
사용중지,"부산광역시 서구 대영로90번길 9 (동대신동1가, 그린빌라)",부산광역시 서구 동대신동1가 105번지 2호,지하,167.0,202,35.110649241939164,129.02102849746552,1138614.824301,1680557.116007
사용중,"부산광역시 서구 대영로112번길 40, 지하1층 (동대신동2가, 대신동신익빌라)",부산광역시 서구 동대신동2가 139 대신동신익빌라,지하,198.0,240,35.1125901496875,129.02477217445954,1138952.725815,1680777.60256
사용중,"부산광역시 서구 보수대로 202-50, 신광교회 지하 1,2층 (동대신동2가)",부산광역시 서구 동대신동2가 50-41 신광교회,지하,330.0,400,35.11378995033401,129.02129298866777,1138633.608826,1680905.825161
사용중,"부산광역시 서구 대신공원로 26 (동대신동3가, 동아대학교병원)",부산광역시 서구 동대신동3가 1번지 22호,지하,2509.0,3041,35.12019997735166,129.01659005247714,1138194.173891,1681610.234129
사용중지,"부산광역시 서구 대영로85번길 81-19 (동대신동3가, 동신초등학교)",부산광역시 서구 동대신동3가 315번지,지하,423.0,512,35.11431520125996,129.01831720964458,1138361.519771,1680959.942718
사용중,부산광역시 서구 구덕로346번길 17 (동대신동3가),부산광역시 서구 동대신동3가 161번지 9호,지하,604.0,732,35.11484148033557,129.01638745563946,1138184.761923,1681015.633472
사용중지,"부산광역시 서구 구덕로 350 (동대신동3가, 문화아파트)",부산광역시 서구 동대신동3가 173번지,지하,660.0,800,35.11483750910264,129.0155280513909,1138106.44694,1681014.00073
사용중,"부산광역시 서구 구덕로334번길 26 (동대신동3가, 타워별장)",부산광역시 서구 동대신동3가 355번지 1호,지하,140.0,169,35.11387765403119,129.01724055208953,1138264.137442,1680909.918198
사용중지,"부산광역시 서구 대티로 170 (서대신동2가, 위생병원)",부산광역시 서구 서대신동2가 382번지,지하,1155.0,1400,35.11253465769651,129.0115054949297,1137743.728537,1680753.016483
사용중,부산광역시 서구 구덕로 317-1 (서대신동2가),부산광역시 서구 서대신동2가 3번지 1호,지하,198.0,240,35.11220480341065,129.01656276752442,1138205.192345,1680723.438892
사용중,"부산광역시 서구 대영로45번길 53 (서대신동2가, 보현빌리지)",부산광역시 서구 서대신동2가 195번지,지하,647.0,784,35.11180283194796,129.0151208456589,1138074.457028,1680676.855424
사용중,"부산광역시 서구 대영로27번길 40 (서대신동2가, 진성시티라이프)",부산광역시 서구 서대신동2가 209번지,지하,709.58,860,35.11134649009555,129.01404110911938,1137976.821204,1680624.745341
사용중지,부산광역시 서구 망양로11번길 6 (서대신동3가),부산광역시 서구 서대신동3가 481번지 2호,지하,145.0,175,35.11195215483163,129.01253102480453,1137838.173847,1680689.829269
사용중,"부산광역시 서구 구덕로321번길 50 (서대신동3가, 도영빌리지)",부산광역시 서구 서대신동3가 438번지,지하,129.0,156,35.111638106466195,129.01410293415452,1137981.964138,1680657.174599
사용중지,"부산광역시 서구 꽃마을로 43 (서대신동3가, 남성한빛가든아파트)",부산광역시 서구 서대신동3가 161번지 13호,지하,5000.0,6060,35.11791452020031,129.0115495295275,1137738.68472,1681349.765878
사용중,"부산광역시 서구 보수대로320번길 11, 지하 2층 (서대신동3가, 유진대림아파트)",부산광역시 서구 서대신동3가 19-9 유진대림아파트,지하,2550.91,3092,35.1206134432077,129.01204498745753,1137779.290889,1681649.793126
사용중지,부산광역시 서구 꽃마을로 88-7 (서대신동3가),부산광역시 서구 서대신동3가 산 30번지,지상,8630.0,10460,35.12133340484242,129.0098971417308,1137582.350335,1681726.674982
사용중지,"부산광역시 서구 흑교로105번길 10 (부용동1가, 청산아파트)",부산광역시 서구 부용동1가 12번지 3호,지하,386.0,467,35.10714692467887,129.0213075557836,1138646.190881,1680169.057075
사용중지,부산광역시 서구 보수대로 105-1 (부민동1가),부산광역시 서구 부민동1가 66번지 1호,지상,644.64,781,35.10527669293146,129.0211567809199,1138635.616584,1679961.417003
사용중,부산광역시 서구 임시수도기념로 11-10 (부민동2가),부산광역시 서구 부민동2가 9번지 5호,지하,321.28,389,35.10295644278682,129.01914829521954,1138456.4767,1679701.280936
사용중지,"부산광역시 서구 구덕로226번길 9 (부민동1가, 대광오피스텔)",부산광역시 서구 부민동1가 2번지 3호,지하,660.0,800,35.10486455919716,129.0206729696154,1138592.217159,1679915.033322
사용중,"부산광역시 서구 구덕로199번길 10 (부민동2가, 부민교회)",부산광역시 서구 부민동2가 10번지 3호,지하,688.72,834,35.102582534976264,129.01936051043538,1138476.452258,1679660.105309
사용중,부산광역시 서구 대청로6번길 14 (부민동1가),부산광역시 서구 부민동1가 30번지 1호,지하,400.47,485,35.1026662418393,129.02038667143546,1138569.843673,1679670.81645
사용중,"부산광역시 서구 까치고개로 102, 지하 1층 (아미동2가, 아미맨션)",부산광역시 서구 아미동2가 261-126 아미맨션,지하,800.0,969,35.104046891167464,129.0111356461209,1137724.304282,1679811.115324
사용중,"부산광역시 서구 까치고개로 91, 지하 1층 (아미동2가, 아미전원빌라)",부산광역시 서구 아미동2가 261-128 아미전원빌라,지하,657.0,796,35.10464691657205,129.0108119355228,1137693.789714,1679877.217349
사용중,"부산광역시 서구 해돋이로 192, 지하1층 (초장동)",부산광역시 서구 초장동 91-43,지하,95.0,115,35.09417755778198,129.01898080854676,1138456.056411,1678727.370404
사용중,"부산광역시 서구 까치고개로 252, 한국전력중부산지점 (토성동1가)",부산광역시 서구 토성동1가 23-1 한국전력중부산지점,지하,330.0,400,35.099468823499734,129.02327432977074,1138838.472164,1679320.207262
사용중지,"부산광역시 서구 보수대로 21, 한국전력공사남부건설본부 (토성동1가)",부산광역시 서구 토성동1가 29 한국전력공사남부건설본부,지하,897.0,1087,35.09878906234335,129.02449003011358,1138950.439529,1679246.509067
사용중,부산광역시 서구 구덕로 135-8 (토성동5가),부산광역시 서구 토성동5가 28번지 1호,지하,198.0,240,35.09723487169907,129.02102777803225,1138637.47717,1679069.307777
사용중지,부산광역시 서구 충무대로256번길 7 (충무동1가),부산광역시 서구 충무동1가 39번지 46호,지하,825.0,1000,35.09353305952579,129.0243554363826,1138947.09019,1678663.37084
사용중지,부산광역시 서구 해안새벽시장길 36 (충무동1가),부산광역시 서구 충무동1가 34번지 4호,지하,561.0,680,35.09469456200714,129.0251798373983,1139020.269542,1678793.34472
사용중,부산광역시 서구 충무대로255번길 9 (남부민동),부산광역시 서구 남부민동 643번지,지하,495.0,600,35.09320835150313,129.02328254830104,1138849.837682,1678625.861265
사용중,부산광역시 서구 충무대로 246 (남부민동),부산광역시 서구 남부민동 685번지,지하,10000.0,12121,35.09263918986084,129.02413679660907,1138928.675801,1678563.925672
사용중,부산광역시 서구 충무대로 234 (남부민동),부산광역시 서구 남부민동 689번지 4호,지하,7000.0,8484,35.0914507876409,129.0243616421073,1138951.189134,1678432.431989
사용중,부산광역시 서구 해돋이로22번길 3-4 (남부민동),부산광역시 서구 남부민동 440번지,지하,231.0,280,35.08299792991085,129.01921046370114,1138495.895108,1677487.744156
사용중,"부산광역시 서구 충무대로 133 (남부민동, 대림비치아파트)",부산광역시 서구 남부민동 523-1 대림비치아파트,지하,7917.0,9596,35.08257264525633,129.02475514801705,1139002.127971,1677448.295204
사용중,"부산광역시 서구 충무대로 185 (남부민동, 대진타워맨션)",부산광역시 서구 남부민동 653 대진타워맨션,지하,1063.0,1288,35.087178977438995,129.02438323405016,1138960.405493,1677958.670259
사용중지,부산광역시 서구 충무대로 140-0 (남부민동),부산광역시 서구 남부민동 523번지 52호,지하,2723.0,3300,35.08298361354191,129.02517747476278,1139039.934355,1677494.465329
사용중,부산광역시 서구 충무대로 170 (남부민동),부산광역시 서구 남부민동 692-13,지하,287.0,347,35.08580146615345,129.02484752095964,1139005.070365,1677806.536384
사용중,부산광역시 서구 충무대로 181 (남부민동),부산광역시 서구 남부민동 654번지,지하,4286.0,5195,35.08671575582332,129.02429102410272,1138952.784957,1677907.165197
사용중,"부산광역시 서구 충무대로34번길 15 (암남동, 고려빌라맨션)",부산광역시 서구 암남동 350-1 고려빌라맨션,지하,825.0,1000,35.07788611047532,129.01673505736125,1138278.83921,1676917.349873
사용중,부산광역시 서구 충무대로 8 (암남동),부산광역시 서구 암남동 354번지 2호,지하,3399.0,4120,35.07632201342217,129.01622184790966,1138234.685598,1676743.162542
사용중,"부산광역시 서구 암남로8번길 32 (암남동, 송도삼경빌리지)",부산광역시 서구 암남동 43번지,지하,191.0,231,35.08006365732881,129.0165438401754,1138257.730087,1677158.598371
사용중지,"부산광역시 서구 천해로7번길 55-16 (암남동, 그린비치맨션)",부산광역시 서구 암남동 81번지 89호,지하,1518.0,1840,35.08062791951855,129.01934431525407,1138512.105568,1677225.069865
사용중,"부산광역시 서구 보수대로 210, 지하1층 (동대신동3가)",부산광역시 서구 동대신동3가 523-4,지하,173.39,210,35.114040074358655,129.02064685705346,1138574.299301,1680932.667461
사용중,부산광역시 서구 해안새벽시장길 40 (충무동1가),부산광역시 서구 충무동1가 34번지 6호,지하,1119.0,1356,35.094504805099554,129.0251418479166,1139017.128683,1678772.245512
사용중,"부산광역시 서구 충무대로 24 (암남동, 송도혜성주상복합빌딩)",부산광역시 서구 암남동 334-10 송도혜성주상복합빌딩,지하,122.0,147,35.07764634762051,129.01629507711215,1138239.128085,1676890.147212
사용중지,부산광역시 서구 해돋이로 309 (부민 이 편한세상 상가),부산광역시 서구 부민동3가 76번지,지하,4950.0,6000,35.104163998510366,129.01674236379998,1138235.141224,1679831.870866
사용중,부산광역시 서구 원양로 125 (암남동),부산광역시 서구 암남동 716번지,지하,8540.0,10351,35.0641777281753,129.01321016276947,1137980.531336,1675392.058137
사용중,"부산광역시 서구 구덕로 310, 지하1층 (동대신동2가, 골든캐슬)",부산광역시 서구 동대신동2가 367 골든캐슬,지하,482.0,584,35.111526163020145,129.01727882958087,1138271.599405,1680649.163877
사용중,"부산광역시 서구 보수대로 183, 지하1층 (동대신동2가)",부산광역시 서구 동대신동2가 204-5,지하,197.0,238,35.11171868420506,129.02128805423663,1138636.668369,1680676.090845
사용중,부산광역시 서구 보수대로 15 (토성동1가),부산광역시 서구 토성동1가 51번지 1호,지하,825.0,1000,35.09812502594959,129.02440203839944,1138943.545779,1679172.737118
사용중,"부산광역시 서구 구덕로193번길 49, 지하 1층 (아미동2가, 두영오피스텔)",부산광역시 서구 아미동2가 27-1 두영오피스텔,지하,345.0,418,35.102057394376594,129.01712848211776,1138273.893159,1679598.760476
사용중,부산광역시 서구 충무대로 72 (암남동),부산광역시 서구 암남동 201번지 1호,지하,897.7,1088,35.07872396162331,129.02045123228424,1138616.247897,1677015.438945
사용중,부산광역시 서구 구덕로 130 (토성동5가),부산광역시 서구 토성동5가 34번지 3호,지하,1682.0,2038,35.09693537684838,129.0222101588152,1138745.7641,1679037.736528
사용중,부산광역시 서구 대영로 46 (서대신동1가),부산광역시 서구 서대신동1가 54번지 32호,지하,193.0,233,35.109461785840885,129.01656634118322,1138210.150748,1680419.211693
사용중,"부산광역시 서구 망양로33번길 27 (서대신동3가, 구덕자유아파트)",부산광역시 서구 서대신동3가 566번지 5호,지하,660.0,800,35.11375742444047,129.012800576582,1137859.698752,1680890.427484
사용중,"부산광역시 서구 보수대로242번길 6, 지하1층 (동대신동3가, 구덕금호아파트)",부산광역시 서구 동대신동3가 140 구덕금호아파트(지하 1층),지하,2677.0,3244,35.11599304895906,129.01833554321442,1138360.353263,1681146.060952
