경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.036389361075,35.099570610450506,1600,부산광역시 중구 중앙대로 21 ,민방위,1320.0,사용중
129.03271816515212,35.10681287761287,320,부산광역시 중구 중구로 120 ,민방위,264.0,사용중
129.0298051598751,35.10461541444558,323,부산광역시 중구 중구로 81 ,민방위,267.0,사용중
129.02893651124967,35.10407056013006,380,부산광역시 중구 중구로 71 ,민방위,314.0,사용중
129.03311574764098,35.10780277514282,832,부산광역시 중구 중구로 121 ,민방위,687.0,사용중
129.02471275050644,35.10534062691746,316,부산광역시 중구 흑교로 64 ,민방위,261.0,사용중지
129.0272570854524,35.11022644207793,1875,"부산광역시 중구 망양로193번길 146, 중앙도서관 ",민방위,1547.0,사용중
129.0226769522842,35.105800101172434,75,부산광역시 중구 보수대로124번길 24-2 ,민방위,62.0,사용중
129.0251917760714,35.099741347842,387,부산광역시 중구 흑교로 4 ,민방위,320.0,사용중지
129.0260160479915,35.10293464902165,400,부산광역시 중구 대청로 56 ,민방위,330.0,사용중
129.0253613214145,35.10247871701163,529,부산광역시 중구 흑교로 34 ,민방위,437.0,사용중
129.03509588105186,35.09930907602837,320,부산광역시 중구 광복로97번안길 4 ,민방위,264.0,사용중
129.03097682054008,35.10051001818883,249,부산광역시 중구 광복중앙로 13 ,민방위,206.0,사용중
129.03079004657647,35.10153629335284,616,부산광역시 중구 광복중앙로 25 ,민방위,509.0,사용중
129.0277247593264,35.100656165819856,2467,부산광역시 중구 중구로 31 ,민방위,2036.0,사용중
129.0270808881276,35.09760480544588,7776,부산광역시 중구 구덕로  80 ,민방위,6416.0,사용중
129.0343044564782,35.097913032542955,8550,부산광역시 중구 구덕로  12 ,민방위,7054.0,사용중
129.0309257175537,35.09833479565293,10529,부산광역시 중구 구덕로  44 ,민방위,8687.0,사용중
129.02635546215757,35.09748426596568,700,부산광역시 중구 구덕로 86 ,민방위,578.0,사용중
129.03703152030025,35.11192758960323,224,부산광역시 중구 대영로 242 ,민방위,185.0,사용중
129.0375059368162,35.109507020941564,3116,부산광역시 중구 중앙대로 136 ,민방위,2571.0,사용중
129.0365703787768,35.10411655006892,520,부산광역시 중구 중앙대로 72 ,민방위,429.0,사용중
129.0387013765303,35.109783287593466,800,부산광역시 중구 충장대로9번길 52 ,민방위,660.0,사용중
129.034894159492,35.1009678639426,284,"부산광역시 중구 광복로97번길 26-2, 조흥빌딩 ",민방위,235.0,사용중
129.03576851116134,35.09905268372462,550,부산광역시 중구 해관로 1  부산사옥),민방위,454.0,사용중
129.03488814824476,35.10068654392601,612,부산광역시 중구 광복로97번길 24 ,민방위,505.0,사용중
129.035163737499,35.100268640327506,880,부산광역시 중구 광복로97번길 18 ,민방위,726.0,사용중
129.0253202214189,35.106604950240744,5008,부산광역시 중구 법수길 72,민방위,4132.0,사용중
129.02137928764603,35.102992421351054,127,부산광역시 중구 보수대로 82 ,민방위,105.0,사용중
129.0263635138261,35.10293119797668,4190,부산광역시 중구 대청로 60 ,민방위,3457.0,사용중
129.0284495502852,35.09716595140915,400,부산광역시 중구 자갈치로37번길 4 ,민방위,330.0,사용중
129.02631582504395,35.097046607589206,580,부산광역시 중구 구덕로 87-1 ,민방위,479.0,사용중
129.02890599185224,35.09692419305829,1140,부산광역시 중구 자갈치로 42 ,민방위,941.0,사용중
129.03585651064475,35.10919455631716,123,부산광역시 중구 중구로 160 ,민방위,102.0,사용중
129.03527522779152,35.10877661704812,320,부산광역시 중구 중구로 151 ,민방위,264.0,사용중
129.03631828053082,35.11229071236012,347,부산광역시 중구 대영로 235 ,민방위,287.0,사용중
