연번,단지명,주소,동수,층수,연면적,세대수
43,고려,부산광역시 연제구 거제1동 212-15,1,4,1893.43,24
43,한성,부산광역시 연제구 거제1동 211-4,3,5,4534.2,52
43,새연미,부산광역시 연제구 연산6동 2124-16,2,2,1622,20
43,동백연립,부산광역시 연제구 거제3동 39-10,2,2,1316,22
43,흥아거북,부산광역시 연제구 연산5동 1122-3,1,5,4702.84,46
43,오양양지,부산광역시 연제구 연산6동 1849-6,3,5,8058.83,100
43,화신거림,"부산광역시 연제구 거제1동 212-1, 15",4,5,5681,64
43,삼익,부산광역시 연제구 연산4동 578-1,1,14,27133.08,305
43,동원,부산광역시 연제구 연산1동 105-8,2,5,3856.4,49
43,한독,부산광역시 연제구 연산3동 1873-30,5,5,15837,150
43,부림,부산광역시 연제구 연산1동 327-1,1,5,1453.49,29
43,선우,부산광역시 연제구 거제3동 603-21,2,5,2523.13,30
43,연산로얄,부산광역시 연제구 연산4동 578-15,1,8,4556.81,49
43,태광(1동),부산광역시 연제구 연산9동 418-8,1,5,3017.39,41
43,동성상가,부산광역시 연제구 거제3동 453-6,1,5,6306.68,48
43,중경,부산광역시 연제구 연산3동 1829-3,1,5,2307.84,39
43,공작,부산광역시 연제구 연산6동 2133-8,1,4,1940.9,22
43,부림,부산광역시 연제구 거제1동 226-1,2,4,5656.2,48
43,연산파크,부산광역시 연제구 연산6동 1849-7,4,2,2186.73,32
43,세영,부산광역시 연제구 연산9동 399-5,1,5,1753.2,30
43,동해,부산광역시 연제구 연산2동 1645-2,1,4,3178.02,45
43,남산,부산광역시 연제구 연산9동 412-1,1,5,2550,40
43,대조,부산광역시 연제구 거제1동 366-1,4,2,1855.04,32
43,복지라이온,부산광역시 연제구 연산9동 485-11,2,4,2690.09,47
43,동주연립,부산광역시 연제구 산3동 1816-50,5,2,2898.5,48
43,산호,부산광역시 연제구 연산2동 579-9,2,5,6904,90
43,동서,부산광역시 연제구 거제4동 766-2,2,3,1588.23,33
43,태광(3동),부산광역시 연제구 연산9동 405-4,1,5,3029.51,39
43,태광(2동),부산광역시 연제구 연산9동 418-5,1,5,2837.82,49
43,남양,부산광역시 연제구 연산6동 산46-1,2,5,1118.55,20
43,산호,부산광역시 연제구 거제1동 1462-3,2,5,3926,80
43,연제,부산광역시 연제구 연산2동 1598-10,1,5,2383.19,24
43,금풍,부산광역시 연제구 연산8동 369-3,1,4,1526.97,25
43,삼경,부산광역시 연제구 연산8동 346-1,1,4,1526,35
43,삼성,부산광역시 연제구 연산8동 339-21,2,4,1852.12,42
43,미림,부산광역시 연제구 연산1동 300-58,1,5,2140.4,39
43,진일,부산광역시 연제구 연산8동 1088,3,5,7205.1,140
43,남산두,부산광역시 연제구 연산9동 416-10,1,5,2997,40
43,한성연립,부산광역시 연제구 연산8동 409-6,2,3,895.89,24
43,버드나무,부산광역시 연제구 거제3동 453-5,2,5,3804.18,49
43,새연산,부산광역시 연제구 연산3동 1825-2,1,5,1999,30
43,청마,부산광역시 연제구 연산8동 342-41,1,4,1300.14,21
43,부원,부산광역시 연제구 거제1동 1469-6,2,5,5087,69
43,창신,부산광역시 연제구 연산1동 305-40,1,5,3594.85,49
43,부원,"부산광역시 연제구 연산1동 581-6,10",3,4,3549,49
43,부영,부산광역시 연제구 연산9동 472-2,1,5,1541.1,30
43,동성효성,부산광역시 연제구 연산2동 1643-2,1,12,15298,189
43,동광,부산광역시 연제구 연산9동 414-35,2,5,2732,32
43,경동,부산광역시 연제구 거제1동 1463-10,1,5,4079.44,49
43,대원,부산광역시 연제구 거제3동 728-1,1,5,5491.07,80
43,무궁화,부산광역시 연제구 연산9동 460,2,5,5512.47,80
43,유영,부산광역시 연제구 연산1동 306-5,1,5,1987.25,35
43,연미주택,부산광역시 연제구 연산6동 1849-12,4,3,2346,48
43,금호천지,부산광역시 연제구 연산3동 1836-19,1,5,3598,49
43,동양,부산광역시 연제구 연산5동 706-2,2,5,3959,39
43,동양,부산광역시 연제구 연산6동 1849-1,1,3,2345.19,30
43,공영,부산광역시 연제구 연산9동 472-8,1,5,2176.49,30
43,월성,부산광역시 연제구 연산5동 1359-7,2,5,3562,39
43,국제,부산광역시 연제구 연산3동 1873-70,2,5,6278.73,88
43,연산재건아파트,부산광역시 연제구 연산2동 1642-28,1,5,4852.75,114
43,경남,부산광역시 연제구 거제3동 38-45,5,12,48476,384
43,동양,부산광역시 연제구 연산6동 2141-5,1,5,1728,20
43,삼보,부산광역시 연제구 연산1동 580-4,2,11,20652,209
43,이화,부산광역시 연제구 연산9동 484-12,1,5,1742.2,20
43,성림,부산광역시 연제구 연산3동 1829-11,1,5,2833.35,40
43,진흥목화아파트,부산광역시 연제구 연산4동 585-7,1,5,5369.76,70
43,삼원,부산광역시 연제구 연산5동 1123-5,1,5,3254.25,40
43,화랑,부산광역시 연제구 거제2동 867-5,4,5,10205,105
43,한양,부산광역시 연제구 거제1동 129-1,4,14,45891.881,336
43,남정해바라기,부산광역시 연제구 연산6동 2140-4,1,5,5498.92,65
43,청마파크,부산광역시 연제구 연산8동 969-2,3,5,6682.59,95
43,화인상아,부산광역시 연제구 거제2동 1180-1,2,5,5293.25,70
43,연미,부산광역시 연제구 연산6동 2131-8,1,4,2495.38,29
43,한신,부산광역시 연제구 거제3동 584,3,6,5779.26,72
43,현대,부산광역시 연제구 거제3동 840,6,15,66774,618
43,망미주공,부산광역시 연제구 연산9동 2220,23,15,200894,2038
43,진흥목화,부산광역시 연제구 거제4동 676-145,2,6,5036.37,72
43,오성주택,부산광역시 연제구 연산8동 1092,2,5,6015,100
43,거성,부산광역시 연제구 거제4동 676-329,1,5,3049.1,50
43,연산한양,부산광역시 연제구 연산9동 395,14,15,138941,1452
43,동서타워,부산광역시 연제구 연산3동 1873-85,2,14,22740.7,89
43,삼성타워,부산광역시 연제구 연산4동 1135-160,1,15,16018.265,149
43,동서그린,부산광역시 연제구 연산9동 3,3,15,19350.39,188
43,한양아파트,부산광역시 연제구 연산1동 307-10,3,20,31131,302
43,동서무지개(연산센트럴파크),부산광역시 연제구 연산1동 958-6,3,15,28198,293
43,대우그린타워,부산광역시 연제구 거제2동 1288-3,5,18,39073,336
43,대진그린타워,부산광역시 연제구 연산4동 1135-3,1,15,17915,161
43,동서연천,부산광역시 연제구 연산9동 1,1,20,11741,113
43,거제리대우아파트,부산광역시 연제구 거제2동 917-1,5,25,5293,412
43,연산부전타워,부산광역시 연제구 연산9동 57-134,1,24,21166,214
43,한성기린,부산광역시 연제구 연산1동 584-1,2,21,47988,450
43,다뉴브하이타운,부산광역시 연제구 거제2동 1088-5,1,24,15461,144
43,서전기아타운,부산광역시 연제구 연산4동 1135-48,1,15,17289,152
43,동덕현대,부산광역시 연제구 연산3동 1829-1,3,22,49519,478
43,연산경남,부산광역시 연제구 연산9동 137,2,15,28135,297
43,화신데파트,부산광역시 연제구 거제2동 856-6,1,9,6420.42,40
43,경동,부산광역시 연제구 연산1동 304-1,1,24,33432,318
43,태경 썬-싸인,부산광역시 연제구 거제1동 163-1,1,25,28927,224
43,선경,부산광역시 연제구 연산9동 2235-4,7,18,100701,576
43,연산센터빌(영산무지개타운),부산광역시 연제구 연산4동 585-6,1,22,29991,312
43,현대아파트(거제동),부산광역시 연제구 거제2동 1025,3,24,28073,273
43,태경썬하우스텔,부산광역시 연제구 연산5동 719-5,2,5,4633,35
43,동래화신타운(102동),부산광역시 연제구 거제1동 1461-1,1,20,31603,108
43,동래화신타운(101동),부산광역시 연제구 거제1동 1461-2,1,21,18924.39,168
43,벧엘,부산광역시 연제구 거제1동 1466-19,1,15,9278.41,105
43,수산그린,부산광역시 연제구 연산1동 303-21,3,4,3339,42
43,현대아파트(연산9동),부산광역시 연제구 연산9동 481-3,2,19,26540.23,181
43,거제동원타워,부산광역시 연제구 거제2동 1033-2,4,24,54894,414
43,우성아파트,부산광역시 연제구 거제1동 1464-3,2,24,21147,197
43,내쇼날그린,부산광역시 연제구 연산1동 946-1,5,4,3946,47
43,현대아파트(연산8동),부산광역시 연제구 연산8동 1110,3,19,53840,464
43,보문빌라,부산광역시 연제구 거제4동 676-391,3,4,1235,24
43,연제그린타워,부산광역시 연제구 거제3동 577-1,2,20,42968,332
43,연산엘지아파트,부산광역시 연제구 연산9동 243-18,24,25,326432,2302
43,연산쌍용아파트,부산광역시 연제구 연산4동 603-7,1,29,37149,159
43,연산대우,부산광역시 연제구 연산9동 30-1,2,25,40959,303
43,연산반도보라,부산광역시 연제구 연산4동 766-2,2,25,40556,294
43,동서하이빌,부산광역시 연제구 거제2동 1231-5,1,15,3499.731,30
43,거제1차현대홈타운,부산광역시 연제구 거제1동 1481,11,30,158616,1127
43,거제유림아시아드,부산광역시 연제구 거제4동 714-144,14,25,245837,1330
43,거제삼정그린코아,부산광역시 연제구 거제2동 1272,3,21,51917,408
43,거제동 롯데캐슬아파트,부산광역시 연제구 거제1동 1467-1,6,25,67559,540
43,거제2차현대홈타운,부산광역시 연제구 거제1동 1479,13,28,171610,1110
43,거제쌍용스윗닷홈,부산광역시 연제구 거제1동 1475,5,29,73004,502
43,건용베르빌,부산광역시 연제구 연산5동 1481-2,1,12,2461.92,25
43,협성센트로 ,부산광역시 연제구 연산2동 1604-6,1,12,8262.16,75
43,전원 에스빌,부산광역시 연제구 연산5동 1288-3,1,13,2699.32,21
43,강산해오름,부산광역시 연제구 연산9동 480-32,1,11,2603.6,20
43,대가하이츠,부산광역시 연제구 연산5동 1293-16,1,11,2204.5,20
43,태안,부산광역시 연제구 연산5동 1288-21,1,13,2645.88,45
43,청우하이빌,부산광역시 연제구 연산5동 1495-4,1,12,2728.19,57
43,거제청구하이츠,부산광역시 연제구 거제4동 769-78,2,15,26361,170
