주소,세대수,위도,경도
부산광역시 연제구 연산9동 416-10,40,35.1838745,129.1063069
부산광역시 연제구 연산8동 409-6,24,35.1873318,129.0984447
부산광역시 연제구 거제3동 453-5,49,35.1827269,129.071522565466
부산광역시 연제구 연산3동 1825-2,30,35.1703344,129.0915729
부산광역시 연제구 연산8동 342-41,21,35.1873318,129.0984447
부산광역시 연제구 거제1동 1469-6,69,35.19230270000001,129.0762855
부산광역시 연제구 연산1동 305-40,49,35.1888569,129.0896613
"부산광역시 연제구 연산1동 581-6,10",49,35.1888569,129.0896613
부산광역시 연제구 연산9동 472-2,30,35.1838745,129.1063069
부산광역시 연제구 연산2동 1643-2,189,35.1737664,129.0812149
부산광역시 연제구 연산9동 414-35,32,35.1838745,129.1063069
부산광역시 연제구 거제1동 1463-10,49,35.19230270000001,129.0762855
부산광역시 연제구 거제3동 728-1,80,35.1827269,129.071522565466
부산광역시 연제구 연산9동 460,80,35.1838745,129.1063069
부산광역시 연제구 연산1동 306-5,35,35.1888569,129.0896613
부산광역시 연제구 연산6동 1849-12,48,35.17441150000001,129.0925949
부산광역시 연제구 연산3동 1836-19,49,35.1703344,129.0915729
부산광역시 연제구 연산5동 706-2,39,35.183635,129.0783717
부산광역시 연제구 연산6동 1849-1,30,35.17441150000001,129.0925949
부산광역시 연제구 연산9동 472-8,30,35.1838745,129.1063069
부산광역시 연제구 연산5동 1359-7,39,35.183635,129.0783717
부산광역시 연제구 연산3동 1873-70,88,35.1703344,129.0915729
부산광역시 연제구 연산2동 1642-28,114,35.1737664,129.0812149
부산광역시 연제구 거제3동 38-45,384,35.1827269,129.071522565466
부산광역시 연제구 연산6동 2141-5,20,35.17441150000001,129.0925949
부산광역시 연제구 연산1동 580-4,209,35.1888569,129.0896613
부산광역시 연제구 연산9동 484-12,20,35.1838745,129.1063069
부산광역시 연제구 연산3동 1829-11,40,35.1703344,129.0915729
부산광역시 연제구 연산4동 585-7,70,35.1847457,129.0865039
부산광역시 연제구 연산5동 1123-5,40,35.183635,129.0783717
부산광역시 연제구 거제2동 867-5,105,35.18897,129.0683642
부산광역시 연제구 거제1동 129-1,336,35.19230270000001,129.0762855
부산광역시 연제구 연산6동 2140-4,65,35.17441150000001,129.0925949
부산광역시 연제구 연산8동 969-2,95,35.1873318,129.0984447
부산광역시 연제구 거제2동 1180-1,70,35.18897,129.0683642
부산광역시 연제구 연산6동 2131-8,29,35.17441150000001,129.0925949
부산광역시 연제구 거제3동 584,72,35.1827269,129.071522565466
부산광역시 연제구 거제3동 840,618,35.1827269,129.071522565466
부산광역시 연제구 연산9동 2220,2038,35.1838745,129.1063069
부산광역시 연제구 거제4동 676-145,72,35.1816844,129.0687789
부산광역시 연제구 연산8동 1092,100,35.1873318,129.0984447
부산광역시 연제구 거제4동 676-329,50,35.1816844,129.0687789
부산광역시 연제구 연산9동 395,1452,35.1838745,129.1063069
부산광역시 연제구 연산3동 1873-85,89,35.1703344,129.0915729
부산광역시 연제구 연산4동 1135-160,149,35.1847457,129.0865039
부산광역시 연제구 연산9동 3,188,35.1838745,129.1063069
부산광역시 연제구 연산1동 307-10,302,35.1888569,129.0896613
부산광역시 연제구 연산1동 958-6,293,35.1888569,129.0896613
부산광역시 연제구 거제2동 1288-3,336,35.18897,129.0683642
부산광역시 연제구 연산4동 1135-3,161,35.1847457,129.0865039
부산광역시 연제구 연산9동 1,113,35.1838745,129.1063069
부산광역시 연제구 거제2동 917-1,412,35.18897,129.0683642
부산광역시 연제구 연산9동 57-134,214,35.1838745,129.1063069
부산광역시 연제구 연산1동 584-1,450,35.1888569,129.0896613
부산광역시 연제구 거제2동 1088-5,144,35.18897,129.0683642
부산광역시 연제구 연산4동 1135-48,152,35.1847457,129.0865039
부산광역시 연제구 연산3동 1829-1,478,35.1703344,129.0915729
부산광역시 연제구 연산9동 137,297,35.1838745,129.1063069
부산광역시 연제구 거제2동 856-6,40,35.18897,129.0683642
부산광역시 연제구 연산1동 304-1,318,35.1888569,129.0896613
부산광역시 연제구 거제1동 163-1,224,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 2235-4,576,35.1838745,129.1063069
부산광역시 연제구 연산4동 585-6,312,35.1847457,129.0865039
부산광역시 연제구 거제2동 1025,273,35.18897,129.0683642
부산광역시 연제구 연산5동 719-5,35,35.183635,129.0783717
부산광역시 연제구 거제1동 1461-1,108,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1461-2,168,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1466-19,105,35.19230270000001,129.0762855
부산광역시 연제구 연산1동 303-21,42,35.1888569,129.0896613
부산광역시 연제구 연산9동 481-3,181,35.1838745,129.1063069
부산광역시 연제구 거제2동 1033-2,414,35.18897,129.0683642
부산광역시 연제구 거제1동 1464-3,197,35.19230270000001,129.0762855
부산광역시 연제구 연산1동 946-1,47,35.1888569,129.0896613
부산광역시 연제구 연산8동 1110,464,35.1873318,129.0984447
부산광역시 연제구 거제4동 676-391,24,35.1816844,129.0687789
부산광역시 연제구 거제3동 577-1,332,35.1827269,129.071522565466
부산광역시 연제구 연산9동 243-18,2302,35.1838745,129.1063069
부산광역시 연제구 연산4동 603-7,159,35.1847457,129.0865039
부산광역시 연제구 연산9동 30-1,303,35.1838745,129.1063069
부산광역시 연제구 연산4동 766-2,294,35.1847457,129.0865039
부산광역시 연제구 거제2동 1231-5,30,35.18897,129.0683642
부산광역시 연제구 거제1동 1481,1127,35.19230270000001,129.0762855
부산광역시 연제구 거제4동 714-144,1330,35.1816844,129.0687789
부산광역시 연제구 거제2동 1272,408,35.18897,129.0683642
부산광역시 연제구 거제1동 1467-1,540,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1479,1110,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1475,502,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 1481-2,25,35.183635,129.0783717
부산광역시 연제구 연산2동 1604-6,75,35.1737664,129.0812149
부산광역시 연제구 연산5동 1288-3,21,35.183635,129.0783717
부산광역시 연제구 연산9동 480-32,20,35.1838745,129.1063069
부산광역시 연제구 연산5동 1293-16,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1288-21,45,35.183635,129.0783717
부산광역시 연제구 연산5동 1495-4,57,35.183635,129.0783717
부산광역시 연제구 거제4동 769-78,170,35.1816844,129.0687789
부산광역시 연제구 연산5동 1386-11,24,35.183635,129.0783717
부산광역시 연제구 연산5동 1293-11,50,35.183635,129.0783717
부산광역시 연제구 연산5동 1495-22,25,35.183635,129.0783717
부산광역시 연제구 연산5동 1289-20,24,35.183635,129.0783717
부산광역시 연제구 연산2동 1637-1,113,35.1737664,129.0812149
부산광역시 연제구 연산9동 418-31,39,35.1838745,129.1063069
부산광역시 연제구 거제3동 739-1,114,35.1827269,129.071522565466
부산광역시 연제구 거제1동 150-8,169,35.19230270000001,129.0762855
부산광역시 연제구 거제3동 739-10,80,35.1827269,129.071522565466
부산광역시 연제구 연산2동 1310-87,67,35.1737664,129.0812149
부산광역시 연제구 연산6동 1837-5,39,35.17441150000001,129.0925949
부산광역시 연제구 거제1동 1472,82,35.19230270000001,129.0762855
부산광역시 연제구 거제4동 768-1,408,35.1816844,129.0687789
부산광역시 연제구 거제1동1465-3,298,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 1384-3,40,35.183635,129.0783717
부산광역시 연제구 거제3동 588-4,95,35.1827269,129.071522565466
부산광역시 연제구 거제1동 139-1,394,35.19230270000001,129.0762855
부산광역시 연제구 연산7동 2022-587,410,35.1717416,129.0886989
부산광역시 연제구 거제1동 1468-1,1156,35.19230270000001,129.0762855
부산광역시 연제구 연산8동 346-11,150,35.1873318,129.0984447
부산광역시 연제구 연산4동 587-4,329,35.1847457,129.0865039
부산광역시 연제구 연산4동 1136-5,412,35.1847457,129.0865039
부산광역시 연제구 거제1동 1466-17,336,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 36-8,313,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 129,430,35.1838745,129.1063069
부산광역시 연제구 거제1동 1502,142,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1503,418,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 405-2,45,35.1838745,129.1063069
부산광역시 연제구 거제1동 18-3,202,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 406-10,165,35.1838745,129.1063069
부산광역시 연제구 거제2동 898-1,299,35.18897,129.0683642
부산광역시 연제구 연산2동 862,220,35.1737664,129.0812149
부산광역시 연제구 연산5동 1299-6,43,35.183635,129.0783717
부산광역시 연제구  연산5동 704-8,24,35.183635,129.0783717
부산광역시 연제구  연산5동 1386-20,20,35.183635,129.0783717
부산광역시 연제구  연산5동 706-14,20,35.183635,129.0783717
부산광역시 연제구  연산5동 706-9,20,35.183635,129.0783717
부산광역시 연제구  연산1동 2262,1598,35.1888569,129.0896613
부산광역시 연제구 연산5동 1255-12,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1405-41,20,35.183635,129.0783717
부산광역시 연제구 거제2동 1506,478,35.18897,129.0683642
부산광역시 연제구 거제2동 1510,364,35.18897,129.0683642
부산광역시 연제구 연산5동 1386-2,22,35.183635,129.0783717
부산광역시 연제구 연산5동 1481-13,64,35.183635,129.0783717
부산광역시 연제구 거제2동 894-1,20,35.18897,129.0683642
부산광역시 연제구 연산5동 1384-4,20,35.183635,129.0783717
부산광역시 연제구 연산9동 478-2,44,35.1838745,129.1063069
부산광역시 연제구 연산5동 1492-7,28,35.183635,129.0783717
부산광역시 연제구 연산5동 1492-10,20,35.183635,129.0783717
부산광역시 연제구 거제1동 340-1,20,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 1259-2,49,35.183635,129.0783717
부산광역시 연제구 거제1동 89-24,24,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 1503-13,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1306-31,24,35.183635,129.0783717
부산광역시 연제구 연산5동 1503-19,20,35.183635,129.0783717
부산광역시 연제구 연산2동 866-3,20,35.1737664,129.0812149
부산광역시 연제구 연산5동 1293-29,24,35.183635,129.0783717
부산광역시 연제구 연산5동 1288-6,28,35.183635,129.0783717
부산광역시 연제구 연산5동 1492-9,20,35.183635,129.0783717
부산광역시 연제구 연산5동 710-12,24,35.183635,129.0783717
부산광역시 연제구 연산5동 1481-8,23,35.183635,129.0783717
부산광역시 연제구 연산5동 1492-23,20,35.183635,129.0783717
부산광역시 연제구 거제1동 207-45,23,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 710-9,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1310-22,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1503-18,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1481-9,48,35.183635,129.0783717
부산광역시 연제구 연산5동 1405-25,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1289-1,63,35.183635,129.0783717
부산광역시 연제구 연산5동 1386-27,24,35.183635,129.0783717
부산광역시 연제구 연산5동 1310-73,21,35.183635,129.0783717
부산광역시 연제구 연산1동 332-12,20,35.1888569,129.0896613
부산광역시 연제구 연산5동 1405-38,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1288-1,28,35.183635,129.0783717
부산광역시 연제구 연산5동 1259-9,20,35.183635,129.0783717
부산광역시 연제구 거제1동 112-5,22,35.19230270000001,129.0762855
부산광역시 연제구 연산4동 649-4,21,35.1847457,129.0865039
부산광역시 연제구 연산5동 1345-12,29,35.183635,129.0783717
부산광역시 연제구 거제1동 1513,118,35.19230270000001,129.0762855
부산광역시 연제구 연산4동 622-18,28,35.1847457,129.0865039
부산광역시 연제구 연산5동 1492-3,98,35.183635,129.0783717
부산광역시 연제구 연산5동 1279-11,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1310-120,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1310-16,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1503-32,24,35.183635,129.0783717
부산광역시 연제구 연산4동 665-13,20,35.1847457,129.0865039
부산광역시 연제구 연산5동 1502-18,29,35.183635,129.0783717
부산광역시 연제구 연산2동 2298,470,35.1737664,129.0812149
부산광역시 연제구 거제1동 246-2,25,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 416-21,24,35.1838745,129.1063069
부산광역시 연제구 연산5동 708-17,20,35.183635,129.0783717
부산광역시 연제구 연산5동 1255-28,21,35.183635,129.0783717
부산광역시 연제구 연산5동 1345-8,29,35.183635,129.0783717
부산광역시 연제구 연산2동 867-36,22,35.1737664,129.0812149
부산광역시 연제구 거제1동 1515,220,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 89-21,29,35.19230270000001,129.0762855
부산광역시 연제구 연산9동 2307,560,35.1838745,129.1063069
부산광역시 연제구 거제1동 343-1,20,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 1469-4,43,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 711-9,24,35.183635,129.0783717
부산광역시 연제구 연산8동 2311,1758,35.1873318,129.0984447
부산광역시 연제구 연산5동 708-8,26,35.183635,129.0783717
부산광역시 연제구 연산5동 1289-12,48,35.183635,129.0783717
부산광역시 연제구 연산1동 583-11,20,35.1888569,129.0896613
부산광역시 연제구 연산5동 711-5,24,35.183635,129.0783717
부산광역시 연제구 거제1동 199-14,24,35.19230270000001,129.0762855
부산광역시 연제구 거제1동 340-4,20,35.19230270000001,129.0762855
부산광역시 연제구 연산5동 1305-12,54,35.183635,129.0783717
부산광역시 연제구 연산5동 1361-7,232,35.183635,129.0783717
부산광역시 연제구 연산5동 1357-4,25,35.183635,129.0783717
부산광역시 연제구 연산5동 705-2,29,35.183635,129.0783717
부산광역시 연제구 연산9동 469-7,133,35.1838745,129.1063069
부산광역시 연제구 거제3동 600,78,35.1827269,129.071522565466
부산광역시 연제구 거제3동 576-12,30,35.1827269,129.071522565466
부산광역시 연제구 연산8동 382-26,66,35.1873318,129.0984447
부산광역시 연제구 연산9동 418-3,27,35.1838745,129.1063069
부산광역시 연제구 거제3동 593-5,36,35.1827269,129.071522565466
부산광역시 연제구 연산동 1355-6,130,35.1823832,129.0768282
부산광역시 연제구 연산5동 705-29,28,35.183635,129.0783717
부산광역시 연제구 연산5동 1259-12,34,35.183635,129.0783717
부산광역시 연제구 연산2동 867-2,105,35.1737664,129.0812149
부산광역시 연제구 거제3동 589-11,42,35.1827269,129.071522565466
부산광역시 연제구 연산2동 859-2,172,35.1737664,129.0812149
부산광역시 연제구 연산4동 588-5,30,35.1847457,129.0865039
부산광역시 연제구 연산5동 1366-1,216,35.183635,129.0783717
부산광역시 연제구 연산2동 1573,521,35.1737664,129.0812149
부산광역시 연제구 연산5동 1341-7,50,35.183635,129.0783717
부산광역시 연제구 연산9동 2166,529,35.1838745,129.1063069
부산광역시 연제구 연산8동 382-14,22,35.1873318,129.0984447
부산광역시 연제구 연산5동 1259-3,47,35.183635,129.0783717
부산광역시 연제구 연산4동 632-5,22,35.1847457,129.0865039
부산광역시 연제구 거제2동 1088-2,45,35.18897,129.0683642
부산광역시 연제구 연산1동 2335,624,35.1888569,129.0896613
부산광역시 연제구 연산동 712-24,23,35.1826962,129.0817257
부산광역시 연제구 연산동 699-3,76,35.1804419,129.0845409
부산광역시 연제구 연산동 777-54,20,35.1766824,129.0845226
부산광역시 연제구 연산동 867-25,20,35.1770444,129.0759339
부산광역시 연제구 연산동 309-5,108,35.1895649,129.0928481
부산광역시 연제구 연산동 1936-21,51,35.1746144,129.0880917
부산광역시 연제구 연산동 1866-2,158,35.1744995,129.0905272
부산광역시 연제구 연산동 675-3,31,35.1881207,129.0819666
부산광역시 연제구 연산동 1492-31,28,35.1828801,129.077318
부산광역시 연제구 연산동 1480-5,62,35.18356199999999,129.0766869
부산광역시 연제구 연산9동 4 ,27,35.1838745,129.1063069
부산광역시 연제구 연산5동 712-44,22,35.183635,129.0783717
부산광역시 연제구 연산8동 408-24,63,35.1873318,129.0984447
부산광역시 연제구 연산3동 1836-11,42,35.1703344,129.0915729
부산광역시 연제구 연산1동 615-29,22,35.1888569,129.0896613
부산광역시 연제구 연산5동 1498-9,66,35.183635,129.0783717
부산광역시 연제구  연산2동 822-6,181,35.1737664,129.0812149
부산광역시 연제구 연산6동 2121-4,36,35.17441150000001,129.0925949
부산광역시 연제구 연산4동 603-25,69,35.1847457,129.0865039
부산광역시 연제구 연산2동 772-1,1168,35.1737664,129.0812149
부산광역시 연제구 거제동 302-8,878,35.1885651,129.0674418
부산광역시 연제구 연산5동 1361-9,298,35.183635,129.0783717
부산광역시 연제구 연산9동 469-5,26,35.1838745,129.1063069
부산광역시 연제구 연산5동 705-5,102,35.183635,129.0783717
부산광역시 연제구 거제동 724-1,20,35.1778919,129.0687507
부산광역시 연제구 연산동 684-2,64,35.1773421,129.0859337
부산광역시 연제구 연산동 731-5,23,35.1854608,129.0833777
부산광역시 연제구 거제동 747-28,24,35.1766549,129.0701738
부산광역시 연제구 거제동 747-22,24,35.1765987,129.0703283
부산광역시 연제구 연산동 329-14,25,35.1862316,129.0878672
부산광역시 연제구 연산동 1990,1071,35.17906840000001,129.0912932
부산광역시 연제구 연산동 1481-5,68,35.1832405,129.0778412
부산광역시 연제구 연산동 382-22,25,35.1883925,129.0984163
부산광역시 연제구 연산동 1230-22,21,35.1827817,129.0836052
부산광역시 연제구 연산동 704-9,87,35.1827481,129.0798767
부산광역시 연제구 연산동 1299-2,25,35.184292,129.0776478
부산광역시 연제구 거제동 890-1,660,35.1885651,129.0674418
부산광역시 연제구 연산동 2362,740,35.1789876,129.0771962
부산광역시 연제구 연산동 1405-39,20,35.184403,129.0764516
부산광역시 연제구 연산동 777-14,22,35.176744,129.0838869
부산광역시 연제구 연산동 834-4,1230,35.17906840000001,129.0912932
부산광역시 연제구 연산동 346-51,22,35.1897253,129.0952595
부산광역시 연제구 연산1동 590-6,455,35.1888569,129.0896613
부산광역시 연제구 연산3동 2022-40,1651,35.1703344,129.0915729
부산광역시 연제구 연산동 867-6,20,35.1772072,129.0756419
부산광역시 연제구 연산동 1279-3,96,35.1850029,129.0796863
부산광역시 연제구 거제동 747-5,23,35.1769406,129.0694988
부산광역시 연제구 거제2동 860-1,482,35.18897,129.0683642
부산광역시 연제구 연산동 1244-1,276,35.1858967,129.0799418
부산광역시 연제구 연산동 1507-1,160,35.1814741,129.0733063
부산광역시 연제구 연산동2397,405,35.17906840000001,129.0912932
부산광역시 연제구 연산동 2398,96,35.17906840000001,129.0912932
부산광역시 기장군 철마면 여락송정로 363,256,35.2997124,129.1348331
부산광역시 기장군 장안읍 천산로 28,192,35.3328214,129.2844094
부산광역시 기장군 기장읍 대청로35번길 49,140,35.2398935,129.2138613
부산광역시 기장군 기장읍 무양2길 23-14,30,35.2262219,129.2251734
부산광역시 기장군 일광읍 이천4길 16,59,35.2662683,129.2394509
부산광역시 기장군 정관읍 정관로 744-41,70,35.3219532,129.1943917
부산광역시 기장군 기장읍 차성로326번길 19,96,35.2467546,129.2159634
부산광역시 기장군 기장읍 차성동로31번길 26,36,35.2407607,129.2147557
부산광역시 기장군 정관읍 정관로 750-24,170,35.3220298,129.1960535
부산광역시 기장군 기장읍 차성로326번길 9,116,35.2469364,129.2148655
부산광역시 기장군 기장읍 차성동로142번길 12-2,72,35.2501235,129.2181468
부산광역시 기장군 기장읍 청강로 6,520,35.2334495,129.2177064
부산광역시 기장군 기장읍 차성동로142번길 12-8,74,35.2496486,129.2181731
부산광역시 기장군 기장읍 차성로326번길 14,48,35.2464703,129.215464
부산광역시 기장군 일광읍 일역길 75-38,120,35.2617444,129.2317868
부산광역시 기장군 기장읍 차성동로172번길 15,90,35.2532964,129.2191291
부산광역시 기장군 기장읍 차성동로178번길 23,90,35.2537007,129.2197103
부산광역시 기장군 일광읍 일역길 75,45,35.2613158,129.232536
부산광역시 기장군 일광읍 이화로 17,60,35.268204,129.2337917
부산광역시 기장군 기장읍 차성로436번길 28,98,35.254105,129.219886
부산광역시 기장군 정관읍 정관중앙로 83-13,143,35.32355100000001,129.1793459
