학교명,도로명주소,위도,경도
덕원중학교,부산광역시 중구 망양로 356,35.10885429,129.0324467
경남여자중학교,부산광역시 동구 초량중로 142,35.12387731,129.042595
부산기계공업고등학교,부산광역시 해운대구 해운대로 569,35.16184146,129.1528983
수정초등학교,부산광역시 동구 진성로 29,35.13126429,129.0467273
태종대초등학교,부산광역시 영도구 태종로 802,35.06490578,129.0805999
하남중학교,부산광역시 사하구 하신번영로 206,35.09962347,128.9589257
사남초등학교,부산광역시 사하구 장평로 390,35.09606507,128.9830521
연산중학교,부산광역시 연제구 고분로56번길 39,35.1848634,129.0890237
오륙도초등학교,부산광역시 남구 오륙도로 57,35.10423905,129.1161864
배정고등학교,부산광역시 남구 장고개로85번길 14-16,35.13215205,129.0674134
성동초등학교,부산광역시 남구 전포대로68번길 27,35.14383316,129.0691045
이사벨중학교,부산광역시 연제구 중앙대로 1197,35.19353414,129.077938
주양초등학교,부산광역시 사상구 백양대로 372-6,35.15368245,129.0121457
화잠초등학교,부산광역시 북구 화명대로 97-25,35.2359298,129.0173597
명진중학교,부산광역시 북구 학사로 192,35.23977771,129.0097001
동삼초등학교,부산광역시 영도구 태종로 610,35.0798243,129.0734665
승학초등학교,부산광역시 사하구 낙동대로135번길 55,35.10214455,129.0032881
신남초등학교,부산광역시 사하구 비봉로 88,35.09835479,128.9615995
해원초등학교,부산광역시 해운대구 마린시티2로 10,35.15882051,129.1439005
무정초등학교,부산광역시 해운대구 반여로 68-11,35.19815651,129.123779
학산여자고등학교,부산광역시 동래구 충렬사로51번길 62,35.20644229,129.0965495
신호초등학교,부산광역시 강서구 신호산단2로75번길 12,35.08196953,128.8785862
용수초등학교,부산광역시 북구 화명신도시로 53,35.22913767,129.0090771
개원초등학교,부산광역시 부산진구 백양관문로77번길 17,35.16456635,129.0284098
연서초등학교,부산광역시 연제구 거제천로270번길 30,35.19095316,129.0866023
가야초등학교,부산광역시 부산진구 대학로 22,35.1537258,129.0362693
양운초등학교,부산광역시 해운대구 대천로67번길 36,35.17474688,129.166705
감전초등학교,부산광역시 사상구 괘감로 132,35.15574588,128.9886679
해강중학교,부산광역시 해운대구 해운대해변로 17,35.16401351,129.1357065
신선중학교,부산광역시 영도구 복지관길 40,35.08050882,129.0455401
천가초등학교,부산광역시 강서구 동선길 135,35.05234602,128.8312677
다선초등학교,부산광역시 사하구 다송로 57,35.06300204,128.9856796
다대고등학교,부산광역시 사하구 다대낙조2길 199,35.05313679,128.9698499
몰운대초등학교,부산광역시 사하구 다대낙조2길 110,35.0550486,128.9631301
주감중학교,부산광역시 사상구 백양대로 530,35.1564451,128.9954615
가락초등학교,부산광역시 강서구 호계로 41,35.19634003,128.8952655
대청초등학교,부산광역시 기장군 기장읍 차성서로 31,35.23550289,129.2099118
당리중학교,부산광역시 사하구 낙동대로356번길 22,35.1022387,128.9805243
동아고등학교,부산광역시 사하구 괴정로244번길 63,35.09340085,128.9844284
충렬초등학교,부산광역시 동래구 안락로125번길 22,35.20041739,129.1117016
망미초등학교,부산광역시 수영구 수미로35번길 27,35.17491643,129.1143915
동래원예고등학교,부산광역시 동래구 금강로 43,35.21464589,129.0754982
브니엘여자고등학교,부산광역시 금정구 체육공원로 154,35.25485306,129.1039264
부산중학교,부산광역시 동구 초량로40번길 29,35.12222306,129.0368658
영남중학교,부산광역시 사하구 다대로277번길 100,35.07480267,128.9825999
금사초등학교,부산광역시 금정구 윤산로 279,35.22049558,129.1048505
명덕초등학교,부산광역시 북구 금곡대로186번길 43,35.22545957,129.0118111
경남중학교,부산광역시 서구 까치고개로229번길 7,35.10111163,129.0207821
장안중학교,부산광역시 기장군 장안읍 좌천2길 43,35.31450466,129.2407453
내성초등학교,부산광역시 동래구 동래로 173,35.20461583,129.0897914
달북초등학교,부산광역시 동래구 쇠미로 131,35.20357435,129.0599975
신선초등학교,부산광역시 영도구 산정길 17,35.08361861,129.0475994
대신여자중학교,부산광역시 서구 보동길 268,35.11346466,129.0248053
부산알로이시오초등학교,부산광역시 서구 천해로13번길 16-9,35.08331635,129.016349
다대초등학교,부산광역시 사하구 다대로 499,35.05968077,128.9757951
동명초등학교,부산광역시 연제구 쌍미천로44번길 17,35.17817027,129.0908609
