주소,경도,위도
"부산광역시 해운대구 재반로 137, (재송동)",129.1270729,35.1905809
"부산광역시 수영구 수영로 671, 5층~11층 (광안동)",129.1144799,35.1657592
"부산광역시 서구 암남공원로 522, (암남동)",129.012138,35.079737
"부산광역시 부산진구 가야대로 564, 지하1~지상6층 (가야동)",129.0336061,35.1539398
"부산광역시 중구 동광길 179, (영주동)",129.036887,35.1105954
"부산광역시 연제구 월드컵대로 161, (연산동)",129.0785843,35.1867925
"부산광역시 북구 만덕고개길 84, 아하브병원 6층, 7층일부층 (만덕동)",129.0489295,35.2117162
"부산광역시 부산진구 거제대로36번길 27, 1(일부), 2~6층 (양정동)",129.0691505,35.1719361
"부산광역시 금정구 금강로 209, (장전동)",129.0827639,35.2271287
"부산광역시 연제구 과정로 128, (연산동)",129.1075006,35.1828899
"부산광역시 연제구 과정로 152, 4,5층 (연산동)",129.1074492,35.1850744
"부산광역시 남구 신선로 429, (용당동)",129.0991261,35.1235447
"부산광역시 연제구 과정로 130, (연산동, 1층(일부제외)∼8층)",129.107458,35.1830486
"부산광역시 해운대구 좌동순환로 247, 2층, 6-9층 (좌동)",129.1811618,35.1737755
"부산광역시 남구 수영로 185-7, (대연동)",129.0865786,35.1353207
"부산광역시 동래구 충렬대로 120, (온천동)",129.0734809,35.206008
"부산광역시 동래구 충렬대로359번길 8, 좋은애인요양병원 지하2~지상8층 (안락동)",129.0985742,35.1982816
"부산광역시 사상구 대동로 2, (엄궁동)",128.9727544,35.1316291
"부산광역시 동래구 금강공원로 40, (온천동)",129.0802116,35.2191356
"부산광역시 사하구 다대로 607, (다대동)",128.9712974,35.0521422
"부산광역시 사상구 낙동대로 1026, (감전동)",128.9729491,35.1516516
"부산광역시 연제구 중앙대로 1078, (연산동)",129.0805408,35.1839834
"부산광역시 사상구 백양대로907번길 11-11, (모라동)",128.9900486,35.1873315
"부산광역시 금정구 무학송로 143, (부곡동)",129.0938258,35.2439302
"부산광역시 부산진구 동천로107번길 8, (부전동)",129.0617801,35.1584338
"부산광역시 사상구 덕상로 116-38, (모라동)",128.992465,35.1817016
"부산광역시 사하구 감천로 125, (감천동, 우리빌딩)",129.005608,35.0876923
"부산광역시 영도구 동삼서로 21, (동삼동, 영도참편한요양병원)",129.0686962,35.0808554
"부산광역시 연제구 배산북로 50, (연산동, C동 1~6층(일부 제외))",129.094698,35.1783372
"부산광역시 사하구 동매로44번길 8, (하단동)",128.9631225,35.1028686
"부산광역시 사하구 비봉로 80, (신평동)",128.9630394,35.0988244
"부산광역시 동래구 금강로 64, (온천동)",129.077549,35.2149053
"부산광역시 금정구 금샘로 59, (장전동)",129.0759887,35.2307264
"부산광역시 부산진구 가야대로 721, 신관 8층 일부, 9~14층 전부, 15층 일부, 16층 전부, 본관 12층 일부 (당감동)",129.0499565,35.1578994
"부산광역시 동래구 온천장로 40, (온천동)",129.0797099,35.2156776
"부산광역시 동래구 금강공원로 32, (온천동)",129.081093,35.2191798
"부산광역시 동래구 금강로 141, (온천동)",129.0805399,35.2213128
"부산광역시 동래구 충렬대로 258-258, (낙민동)",129.0873078,35.2007335
"부산광역시 북구 금곡대로 586, (금곡동)",129.0137969,35.2595976
"부산광역시 사상구 학감대로39번길 67, (학장동)",128.996512,35.133499
"부산광역시 사상구 가야대로 264, (주례동)",129.0014726,35.1500632
"부산광역시 영도구 태종로372번길 41, (청학동)",129.0637402,35.0920426
"부산광역시 동래구 명륜로 147, (명륜동)",129.0817587,35.2069388
"부산광역시 사상구 삼덕로5번길 85, (삼락동, 지하1층~지상4층)",128.9782163,35.1784013
"부산광역시 사하구 옥천로 38, (감천동)",129.0067816,35.0903898
"부산광역시 북구 금곡대로 458, 6층 (금곡동, 금곡월드프라자)",129.0132941,35.249122
"부산광역시 금정구 남산냇길 111, (청룡동)",129.0882819,35.2768485
"부산광역시 북구 덕천로381번길 9-3, (만덕동)",129.0447292,35.2103669
"부산광역시 북구 만덕고개길 60-12, (만덕동)",129.0466489,35.21249
"부산광역시 해운대구 달맞이길117번나길 24, (중동)",129.1808924,35.158238
"부산광역시 해운대구 달맞이길117번나길 174, (중동, 아식스신발연구소)",129.1852253,35.1640935
"부산광역시 북구 낙동대로 1678, (구포동)",128.9955156,35.2046381
"부산광역시 사상구 사상로 280, (덕포동)",128.9827545,35.1697772
"부산광역시 연제구 쌍미천로84번길 37, (연산동)",129.0881416,35.1818788
"부산광역시 사상구 광장로 33-33, (괘법동)",128.9804432,35.1633093
"부산광역시 수영구 수영로 456-456, (남천동)",129.1103244,35.146437
"부산광역시 연제구 고분로 4, (연산동)",129.0826874,35.185661
"부산광역시 금정구 중앙대로 1905, (구서동)",129.0910416,35.2544494
"부산광역시 동구 중앙대로 421, (좌천동)",129.0518374,35.1322374
"부산광역시 중구 중앙대로 69, (중앙동3가)",129.035898,35.1038462
"부산광역시 사하구 다대로277번길 31, (장림동)",128.9789704,35.0769067
"부산광역시 금정구 서부로 56, (서동)",129.1009869,35.2182958
"부산광역시 수영구 연수로 404, (광안동)",129.1132968,35.1683349
"부산광역시 사하구 낙동대로 305, (괴정동)",128.9834801,35.0993512
"부산광역시 수영구 광일로43번길 25, (광안동)",129.1092407,35.1614742
"부산광역시 기장군 기장읍 대변로 117-2, (기장읍)",129.225875,35.2279
"부산광역시 부산진구 황령대로8번길 7, (범천동)",129.0607991,35.1473565
"부산광역시 금정구 중앙대로 1721, (부곡동)",129.0919846,35.238198
"부산광역시 사하구 낙동대로216번길 10, (괴정동)",128.993158,35.1008523
"부산광역시 금정구 식물원로9번길 37, (장전동)",129.0859483,35.2224958
"부산광역시 중구 광복로97번길 26-2, (동광동2가)",129.0348973,35.1009717
"부산광역시 연제구 과정로 222, (연산동)",129.1030919,35.1882168
"부산광역시 해운대구 해운대로61번길 47, (재송동)",129.1240795,35.193865
"부산광역시 중구 중앙대로 55, (중앙동2가)",129.0361076,35.1025744
"부산광역시 남구 수영로 164, (대연동)",129.084594,35.1344941
"부산광역시 동구 중앙대로 281, (초량동)",129.0429353,35.1218671
"부산광역시 연제구 화지로 107, (거제동)",129.0664157,35.1839924
"부산광역시 동구 중앙대로 524, (범일동)",129.0569378,35.1400074
"부산광역시 사하구 사하로 21, (구평동)",128.9910555,35.0856365
"부산광역시 수영구 장대골로7번길 45, 2~4층 (광안동, 광안유림노르웨이아침)",129.1124258,35.156927
"부산광역시 부산진구 백양산로53번길 18, 당감트리플타워A (부암동)",129.0302762,35.1734157
"부산광역시 금정구 금단로 140-2, (남산동)",129.0936969,35.2615999
"부산광역시 사상구 백양대로 764, (덕포동)",128.9886877,35.1749658
"부산광역시 금정구 부곡로 36, 2-4층 (부곡동, 애플타워)",129.0883281,35.2199193
"부산광역시 동구 중앙대로 364, (수정동, 청십자병원)",129.0483341,35.1278016
"부산광역시 부산진구 봉수로 18, 지상 1층 일부, 2층 일부, 3층 일부, 4~7층 전부, D동 2층 (전포동)",129.0700475,35.1497852
"부산광역시 부산진구 동평로 401, 지하2~지상10층 (양정동)",129.0690196,35.1742677
"부산광역시 사하구 원양로 400, (감천동)",129.0056945,35.0862779
"부산광역시 금정구 반송로 470, 2~7층 (금사동)",129.1152465,35.2155262
"부산광역시 사하구 하신중앙로 7, (장림동)",128.964194,35.0797373
"부산광역시 해운대구 해운대로76번길 12, (재송동)",129.1193753,35.19085
"부산광역시 사하구 장평로 1-1, (장림동)",128.9771391,35.0686092
"부산광역시 해운대구 아랫반송로1번길 27-3, (반송동)",129.1469312,35.2267812
"부산광역시 서구 대영로85번길 31, (동대신동2가)",129.0197054,35.1122806
"부산광역시 영도구 절영로 21-21, (대교동2가)",129.0400551,35.0924171
"부산광역시 남구 용호로 132, 용성빌딩3,4층 (용호동)",129.1118658,35.1206275
"부산광역시 영도구 절영로 32, (대교동1가)",129.039072,35.0917091
"부산광역시 남구 우암양달로75번길 29, (우암동)",129.0745087,35.1266005
"부산광역시 사하구 감천로 55, (감천동)",128.9987461,35.0905205
"부산광역시 동래구 충렬대로 372, (안락동, 안락동요양병원)",129.0991537,35.1973624
"부산광역시 사하구 낙동대로 565, (하단동, 호서부산빌딩)",128.9626711,35.113941
"부산광역시 부산진구 가야대로 451, 6,7,8층 (개금동)",129.0215342,35.1535618
"부산광역시 사하구 낙동대로 377, (당리동)",128.9763507,35.1023457
"부산광역시 사하구 하신중앙로 174, (신평동)",128.9629934,35.0942792
"부산광역시 영도구 태종로 820-23, (동삼동)",129.0803817,35.0632112
"부산광역시 기장군 기장읍 대청로36번길 11-33, (기장읍)",129.216138,35.2372994
"부산광역시 금정구 금강로 592, 지1,1,3-7층 (구서동)",129.0879942,35.2603274
"부산광역시 사상구 대동로 159, 본관3~7층, 별관지하1~지상5층, 신관1~4층 (학장동)",128.9834682,35.1415331
"부산광역시 사하구 사하로 55, (구평동)",128.9934093,35.0872173
"부산광역시 부산진구 새싹로 107, 지하1층~지상6층층 (부암동)",129.0519433,35.166149
"부산광역시 해운대구 반여로 156, 한빛요양병원 (반여동)",129.126204,35.2051371
"부산광역시 해운대구 좌동순환로 462, 지하1층-지상7층 (중동, 성심병원)",129.1719387,35.1622486
"부산광역시 기장군 기장읍 반송로 1555, (기장읍)",129.2100756,35.2486598
"부산광역시 남구 용호로 95, (용호동)",129.1127358,35.1237589
"부산광역시 서구 옥천로130번길 38, (아미동2가)",129.0133103,35.0973247
"부산광역시 남구 수영로 165-165, (대연동)",129.0846502,35.1350775
"부산광역시 사하구 낙동대로 248, 4,8,9,10층 (괴정동, 우리메디칼센터)",128.9898938,35.0995551
"부산광역시 사하구 장평로 1, (장림동)",128.9771391,35.0686092
"부산광역시 금정구 체육공원로 608, (두구동)",129.1118972,35.2948146
"부산광역시 남구 황령대로353번길 66-66, (대연동)",129.098745,35.1481294
"부산광역시 동구 범일로 112, (범일동)",129.0596592,35.1399429
"부산광역시 연제구 중앙대로 1239, (거제동)",129.0785744,35.1979049
"부산광역시 해운대구 해운대로 575, 2~5층 (우동, 국제빌딩)",129.1543774,35.1615007
"부산광역시 사상구 학감대로39번길 104-36, (학장동)",128.995075,35.132849
"부산광역시 연제구 배산북로 50, (연산동, 배산북로 47)",129.094698,35.1783372
"부산광역시 북구 만덕고개길 84, 지하1~2층, 지상1~5층, 7층일부 (만덕동)",129.0489295,35.2117162
"부산광역시 금정구 서동로 197-1, (서동)",129.1081538,35.2143421
"부산광역시 사상구 사상로 237, 1,3,4,5층 (괘법동)",128.9824301,35.1661174
"부산광역시 사상구 학감대로39번길 116, (학장동, A동 지하1~ 지상4층, B동 지상1~2층, D동 지상1~지상4층)",128.99575,35.132207
"부산광역시 사상구 학감대로39번길 116, (학장동)",128.99575,35.132207
"부산광역시 동래구 충렬대로 426, (안락동)",129.1048824,35.1962377
"부산광역시 사상구 학장로 325, (주례동)",128.9996328,35.1495627
"부산광역시 사하구 하신중앙로3번나길 10, (장림동, 부산정신병원)",128.9623279,35.0769853
"부산광역시 금정구 금샘로 56, (장전동)",129.0770761,35.2306373
"부산광역시 해운대구 해운대로469번가길 75-75, (우동)",129.1460683,35.1676968
"부산광역시 남구 유엔평화로 156-156, (용당동)",129.0971157,35.1221797
"부산광역시 사상구 삼덕로5번길 85, (삼락동)",128.9782163,35.1784013
"부산광역시 수영구 연수로 407, 2층 (수영동)",129.1138871,35.1685095
"부산광역시 동구 구청로 1, (수정동)",129.0453253,35.1292746
"부산광역시 연제구 연제로 2, (연산동)",129.079764,35.176242
"부산광역시 사상구 학감대로 242, (감전동)",128.99125,35.152624
"부산광역시 강서구 공항로811번가길 36, (대저2동)",128.9567451,35.1782106
"부산광역시 금정구 중앙대로 1777, (부곡동)",129.0921,35.243068
"부산광역시 기장군 기장읍 기장대로 560, (기장읍)",129.222312,35.244498
"부산광역시 남구 못골로 23, (대연동)",129.0849465,35.1360898
"부산광역시 동래구 명륜로187번길 56, (명륜동)",129.0798493,35.2113953
"부산광역시 북구 금곡대로 348, (화명동)",129.0147771,35.2392972
"부산광역시 영도구 태종로 423, (청학동)",129.067875,35.091199
"부산광역시 중구 중구로 120, (대청동1가)",129.032352,35.106214
"부산광역시 해운대구 양운로37번길 59, (좌동)",129.1786669,35.1640913
"부산광역시 부산진구 황령대로8번길 36, (범천동)",129.0599329,35.1462386
"부산광역시 사하구 하신중앙로 185, 사하구 제2청사, 신평2동행정복지센터 (신평동)",128.9615408,35.0949676
"부산광역시 서구 부용로 30, (부용동2가)",129.0180949,35.107442
"부산광역시 수영구 수영로 637-5, (광안동)",129.1135423,35.1626898
